Year,Date,Grant Amount,Project,Project Category,Organization/Applicant,Location/Municipality,Status,Description,Additional Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3/4/2015,"$4,000 ",support Carnegie Science Center Future Cities Competition,Education/Competition,Carnegie Science Center future cities program,North Shore City; Pitt,,"to support the Carnegie Science Center Future Cities Competition ($2,000 per year for 2015 and 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5/6/2015,"$50,000 ",planting trees,Tree Planting,Tree Pittsburgh,"Lawrenceville, Chateau, and Neville Island",," to plant trees on industrial properties in Lawrenceville, Chateau, and Neville Island; requested by Tree Pittsburgh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,5/6/2015,"$225,000 ",discourage open burning and educate on the health effects of wood smoke,Education/Campaign,Outreach Campaign,,,To fund an outreach campaign in response to the revisions to Article XXI Open Burning regulations; the campaign will discourage open burning educate on the health effects of wood smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7/8/2015,"$337,600 ",Northgate Asthma Initiative,Public Health/Medicine,Healthy Homes Program,,,"To support the Northgate Asthma Initiative / continue to concentrate the Healthy Homes program on children in the Northgate School District, which has an elevated number of asthmatic children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9/2/2015,"$400,000 ",purchase of solar panels to light parking lots and charge electric vehicles at CCAC campuses,Emission Reduction/Electric Vehicles/Solar,Solar Panels,Allegheny County,,for the purchase of solar panels to light parking lots and charge electric vehicles at CCAC campuses,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1/13/2016,"$450,000 ",fund 50% of an investment-grade audit for renovation of Clack Building #1,Operational Funding,Air Quality Program,,,to fund 50% of an investment-grade audit for renovation of Clack Building #1 as a potential new location for Air Quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1/13/2016,"$78,000 ",fund six Student Conservation Association interns,Education,Student Conservation Association,,,to fund six Student Conservation Association interns for city and county-based climate change group,Employment ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3/2/2016,"$717,246 ",fund a CMU air pollution modeling project,Research,CMU Air Pollution,Mon Valley,,to fund a CMU air pollution modeling project aimed at predicting pollution dispersion in the Mon Valley and understanding air quality under multiple meteorological conditions and emissions scenarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3/2/2016,"$180,000 ",funding for promoting residential solar energy options and contacts for contractors,Emission Reduction/Solar,Solarize Allegheny,Allegheny County,,"to fund Solarize Allegheny, a project promoting residential solar energy options and contacts for contractors; project managed by SmartPower, a national non-profit marketing firm for clean energy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3/2/2016,"50,000",support for the ACHD project incentivizing owners of indoor fireplaces to convert to natural gas,Emission Reduction,ACHD Project,,,support for the ACHD project incentivizing owners of indoor fireplaces to convert to natural gas instead of burning wood (vendors would receive a rebate and purchasers would get a reduced price),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,5/4/2016,"24,000",support the Southwest Pennsylvania Air Quality Partnership Lawnmower Exchange Program,Diesel Reduction ,Southwest Pennsylvania Air Quality,,,"to support the Southwest Pennsylvania Air Quality Partnership Lawnmower Exchange Program ($12,000 per year for two years)",Ask about lawnmowers (are they electric),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7/13/2016,"4,000",support the Carnegie Science Center Future Cities Competition,Education/Competition ,Carnegie Science Center fair,Pittsburgh,,"to support the Carnegie Science Center Future Cities Competition ($2,000 per year for the school years 2016-2017 and 2017-2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11/2/2016,"75,900",generate air quality awareness and community capacity in high priority areas,Education/Public Communications,Air Space,,,"to launch a new initiative (""Air-Space"") to generate air quality awareness and community capacity in high priority areas throughout the County; requested by G-tech, which will partner with ACHD",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1/11/2017,"$7,500 ",Pittsburgh Regional Science & Engineering Fair,Education/Competition,Pittsburgh Regional Science Fair,Pittsburgh,,"to support the Pittsburgh Regional Science & Engineering Fair ($2,500 per year for 2017, 2018, and 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1/11/2017,"$65,000 ",placing five Student Conservation Association Sustainability Fellows in environmental organizations,Education,Student Conservation Association ,,,to support placing five Student Conservation Association Sustainability Fellows in environmental organizations,Employment ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3/7/2018,"$45,000 ",software to assist in tracking all aspects of asbestos renovation and demolition activities and stationary source enforcement,Operational Funding/Software,Air Quality Program,,,for Air Quality Program software to assist in tracking all aspects of asbestos renovation and demolition activities and stationary source enforcement; this will replace a series of spreadsheets and old software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3/7/2018,"$300,000 ",air pollution public education projects and emission reduction projects,Education/Emission Reduction,,,,"to fund small projects ($10k - $30k) addressing air pollution public education projects and emission reduction projects, with $150,000 going to each of the two categories",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3/7/2018,"$558,242 ",Air Quality Program 5% operations funding allocation for the year 2017,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5/2/2018,"$66,000 ",construction oversight services for the potential Clack Building #1 renovation project,Operational Funding,Construction/Air Quality Program?,,,construction oversight services for the potential Clack Building #1 renovation project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5/2/2018,"$579,703 ",Air Quality Program 5% operations funding allocation for the year 2018,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,11/7/2018,"$546,017 ",Air Quality Program 5% operations funding allocation for the year 2019,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,11/7/2018,"$60,000 ",for Air Quality Program student interns for remainder of 2018 and for 2019,Operational Funding ,Air Quality Program,,,for Air Quality Program student interns for remainder of 2018 and for 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1/9/2018,"$24,765 ",for a part-time Clean Air Fund administrator for the Air Quality Program,Operational Funding,Clean Air Fund,,,for a part-time Clean Air Fund administrator for the Air Quality Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1/9/2018,"$15,000 ",for the Air Quality Program to run a half-day workshop for municipal officials on air quality topics,Operational Funding/Research ?,Air Quality Program,,,for the Air Quality Program to run a half-day workshop for municipal officials on air quality topics,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3/6/2019,"$120,000 ","To provide professional and technical support on an as-needed basis to the Air Quality Program for case analysis, data and technical support, legal support, and medical and toxicology consulting",Operational Funding,Air Quality Program,,,"To provide professional and technical support on an as-needed basis to the Air Quality Program for case analysis, data and technical support, legal support, and medical and toxicology consulting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,5/1/2019,"$150,000 ", Emission Reductions,Emission Reduction,??,,,To fund several small projects ($10k - $30k) addressing emission reductions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7/17/2019,"$300,000 ",Public Health/Medicine,Public Health/Medicine,UPMC Children’s Hospital and Pitt GSPH,Allegheny County,,To support UPMC Children’s Hospital and Pitt GSPH developing an asthma registry for children and adolescents for surveillance and management of asthma in Allegheny County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7/17/2019,"$90,000 ",Tree Planting,Tree Planting,Allegheny County Department of Parks,,,"To fund the Allegheny County Department of Parks for the purchase of 360 landscape trees, which will be planted at designated locations in the County's Parks over a two-year period",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,11/6/2019,"$627,100 ",,Emission Reduction/Solar,County Department of Public Works,Along Corrigan Dr. in South Park,,County Department of Public Works: for solar lighting along Corrigan Dr. in South Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1/10/2020,"$25,000 ",to support the Southwest Pennsylvania Air Quality Partnership lawnmower exchange program,Diesel Reduction ,,,,to support the Southwest Pennsylvania Air Quality Partnership lawnmower exchange program,Ask about lawnmowers (are they electric),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1/10/2020,"$9,000 ","to support the Carnegie Science Center Future Cities competition  ($3,000 per year for 3 years)",Education/Competition ,Carnegie Science Center future cities Competition,,,"to support the Carnegie Science Center Future Cities competition  ($3,000 per year for 3 years)","$3,000 per year / 3 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1/10/2020,"$7,500 ","Carnegie Science Center Pittsburgh Regional Science and Engineering fair support ($2,500 per year for 3 years)",Education/Competition,Carnegie Science Center Pittsburgh Regional Science and Engineering fair,,,"Carnegie Science Center Pittsburgh Regional Science and Engineering fair support ($2,500 per year for 3 years)","$2,500 per year / 3 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
