Year,Date,Grant Amount,Project,Project Category,Organization/Applicant,Location/Municipality,Status,Description,Additional Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3/4/2020,"$592,822 ",Air Quality Program 5% operations funding allocation for the year 2020,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3/4/2020,"$384,000 ","For air monitoring work and equipment supporting the Air Quality Program (relocation and upgrades at the Liberty Monitor site, back-up monitoring hardware, low-cost monitors, etc.)",Operational Funding ,Air Quality Program,,,"For air monitoring work and equipment supporting the Air Quality Program (relocation and upgrades at the Liberty Monitor site, back-up monitoring hardware, low-cost monitors, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$500,000 ","To provide professional and technical support on an as-needed basis to the Air Quality Program for case analysis, data and technical support, legal support, and medical and toxicology consulting",Operational Funding,Air Quality Program,,,"To provide professional and technical support on an as-needed basis to the Air Quality Program for case analysis, data and technical support, legal support, and medical and toxicology consulting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$210,000 ",To update / develop software the Air Quality Program enforcement and permitting staff use,Operational Funding/Software,Air Quality Program,,,To update / develop software the Air Quality Program enforcement and permitting staff use,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$59,560 ",Tree planting,Tree planting,Plant Five for Life,,,To plant 500 trees in various locations in the Carnegie and Churchill areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/2020,"$98,000 ",Tree planting,Tree planting,Tree-Vitalize,,,To plant 200 street trees in various low income areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3/3/2021,"$578,684 ",,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5/5/2021,"$200,000 ",,Operational Funding/Public Comm,Air Quality  Program,,,"To fund an RFP that will ask community-based organizations to seek small grant to conduct outreach aimed at increasing participation / sign-ups / awareness around the County's Allegheny Alerts system; titled the ""Air Ambassadors  Program""; ACHD will be overseeing community partners",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,5/4/2022,"$30,000 ",,Research,"University of Pittsburgh, Duquesne University, and Carnegie Mellon University",Allegheny County,,"To design a health impact study covering the impacts of various pollutants involving ACHD in partnership with the University of Pittsburgh, Duquesne University, and Carnegie Mellon University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11/2/2022,"$539,125 ",,Operational Funding,Air Quality Program,,,Air Quality Program 5% operations funding allocation for the year 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,7/15/20. Ongoing through 2025,"$99,995 ",One Tree Per Child,Tree Planting/Education,Tree Pittsburgh,Pittsburgh,"Project is ongoing, they have planted around 1,000 trees and engaged with the community","Engage over 1000 students from 20 different schools in the Mon Valley over 2 years. Plant 1250 trees with customized tree care plan for each school. Partnership with five school districts: Bethel Park, McKeesport, Woodland Hills, West Mifflin, and South Fayette",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Completed 2022,"$15,000 ",Pittsburgh Regional Science and Engineering Fair,Education/Competition,Pittsburgh Regional Science and Engineering Fair,Pittsburgh,The ACHD provided three years of funding,Annual funding for three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Completed 2022,"$98,000 ",Tree planting,Tree Planting,Western Pennsylvania Conservancy,,75 trees were planted,Plant and maintain 75 trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Completed 2023,"$500,000 ",Professional and Technical Support,Operational Funding,Allegheny County Health Department,,Support provided for various studies and program needs,"Professional and technical support as needed for case analysis, technical expertise, legal support, and medical and toxicological consulting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3/4/20. Completed 2020,"$55,000 ",Clean Air and Environmental Health Fund Contract Administrator Position,Operational Funding,Allegheny County Health Department,,An administrator was hired to help develop new processes and strategies,Hire a Clean Air and Environmental Health Fund Contract grant Administrator last year to help develop new processes and outreach strategies,Employment ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1/10/20. Completed 2023,"$75,000 ",Air Quality Alerts and Education,Operational Funding/Public Comm,Southwest Pennsylvania Air Quality Partnership,Allegheny,Support was provided for public outreach,"Provide guidelines for individual actions to reduce exposure to pollution, provide alerts on high pollution days, and ozone and particulate forecasting for three years ($25,000 per year for 2021, 2022, and 2023)",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9/2/20. Ongoing,"$340,554 ",Equipment for Air Toxics and H2S Studies,Operational Funding/Research,ACHD,Monongahela,Air Quality monitoring testing equipment has been purchased to support,"Purchase air monitoring equipment, cover sampling analysis costs, and provide lab analysis in support of the Air Quality Program conducting a study of odor and air toxics emissions and H2S in the Mon Valley",2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Completed 2024,"$548,725 ",Regulated Entities Portal,Operational Funding/Software,enfoTech & Consulting Inc.,,"The system, know as the Regulated Entities Portal (REP) launched and is currently in use",Online portal to be created for air quality permitting and enforcement software,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Completed 2022,"$200,000 ",Air Ambassador Program,Public Communication,Various,,About 740 residents signed up for Allegheny Alerts in the Mon Valley,Nine organizations each work on individual projects to educate municipalities in the Mon Valley about air quality and get residents to sign up for Allegheny Alerts,"$9,999 per grantee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Completed 2021,"$9,941 ",Air Quality Forecasting Program for the Mon Valley,Research,Georgia Tech Research Corporation's Institute of Technology,Monongahela,An air quality forecasting program was created for the Mon Valley Episode Rule,Develop an air quality forecasting program for the Mon Valley Episode Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Completed 2022,"$69,956 ",Research Review,Research,Ramboll US Consulting Inc,Monongahela,Third party analysis was done on H2S data and research,H2S Analysis in Allegheny County with a focus within the Mon Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Ongoing through 2026,"$9,000 ",Pittsburgh Regional Science and Engineering Fair,Education/Competition,Pittsburgh Regional Future City Competition,,Three years of funding being provided,Three years of annual funding to support the Carnegie Science Center's Pittsburgh Regional Future City Competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9/6/23. Ongoing through 2028,"$750,000 ",Mon Valley Municipalities Fleet Electrification,Electric Vehicles/Electrification/Diesel Reduction,Steel Rivers Council of Governments ,,The diesel street sweeper has been recycled and the new electric model purchased,Replace existing 2006 diesel powered street sweeper and purchase of an equivalent electric street sweeper and installation of electric vehicle charging station. ,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9/6/23. Ongoing through 2028,"$700,000 ",Mon Valley Municipalities Fleet Electrification,Electric Vehicles/Electrification/Diesel Reduction,Borough of Swissvale,Swissvale,Project is ongoing,Replace existing 2016 diesel powered garbage truck and 2014 recycling truck and purchase of an equivalent electric garbage truck and recycling truck and installation of two electric vehicle charging stations at the borough's Public Works Department,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9/6/23. Ongoing through 2028,"$46,000 ","Tree planting in Allegheny County, one per child",Tree Planting,Tree Pittsburgh,Pittsburgh,Project is ongoing,"Plant 75 caliper, balled, and burlap trees on school grounds, community parks, and right of ways within Steel Valley School District.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9/6/23. Ongoing through 2028,"$46,000 ","Tree planting in Allegheny County, one per child",Tree Planting,Tree Pittsburgh,Pittsburgh,Project is ongoing,"Plant 75 caliper, balled, and burlap trees planted on school grounds, community parks, and right of ways within the Woodland Hills School District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9/6/23. Ongoing through 2028,"$748,339 ",Fleet Electrification,Electric Vehicles/Electrification/Diesel Reduction,West Mifflin Borough,West Mifflin,The charging station has been installed and the new electric vehicle has been ordered.,Decommission and replace existing 2007 diesel-powered refuse hauler truck and replace with electric rear-load garbage packer and installation of two electric vehicle charging stations and an electrical service upgrade at the vehicle site.,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ongoing through 2030,"$46,000 ",Tree Canopy Expansion,Tree Planting,Wilkinsburg Shade Tree Commission,Wilkinsburg,Ongoing,Plant and maintain 50 Trees in Wilkinsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ongoing through 2030,"$46,000 ",Tree Canopy Expansion,Tree Planting,Western Pennsylvania Conservancy,Monongahela,Ongoing,Plant and maintain 45 trees in Monongahela Valley communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ongoing through 2025," $23,094",Municipal Equipment Electrification,Electric Vehicles/Electrification/Diesel Reduction,Borough of Brackenridge,Brackenridge,Ongoing,Replace eleven gas powered pieces of municipal lawn equipment with electric models,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ongoing through 2025,"$43,272 ",Municipal Equipment Electrification ,Electric Vehicles/Electrification/Diesel Reduction, Borough of Pitcairn,Pitcairn,Ongoing,Replace 20 gas powered pieces of municipal lawn equipment with electric models,2 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
